R	V   R	P	R
R	V	P	R	R
B	B	B	R	B
R	V	P	R	R
R	V	V	R	V
B	P	B	B	B
B	P	P	B	B
P	R	R	R	v
R	R	P	P	R
R	R	P	P	R
P	P	V	P	P
P	P	V	V	V
P	P	V	P	P
R	R	P	R	v
P	P	P	P	A
P	V	V	P	P
R	R	V	R	v
P	B	P	B	B
R	V	R	P	R
P	V	R	R	R
B	B	R	R	B
V	V	P	V	V
P	V	P	V	P
V	V	R	R	V
P	V	P	V	P
B	B	B	B	B
V	R	V	V	V
P	P	V	V	V
R	R	P	R	v
P	R	P	R	R
P	R	R	P	R
A	A	A	R	A
R	R	P	P	R
P	R	P	R	R
V	V	P	V	V
V	P	P	P	P
R	R	P	P	R
B	P	P	B	B
P	R	P	R	R
P	R	R	P	R
P	V	R	R	R
P	R	R	R	v
P	V	R	R	R
A	A	A	A	A
R	P	R	P	R
P	B	P	B	B
P	R	R	P	R
P	R	P	R	R
P	R	P	R	R
R	V	P	R	R
R	V	R	P	R
A	A	A	A	A
R	V	R	P	R
P	P	V	P	P
A	A	A	A	A
P	V	V	P	P
V	V	P	V	V
V	P	V	P	V
P	R	P	R	R
P	P	V	P	P
R	R	V	R	v
P	P	V	V	V
P	R	P	R	R
V	V	R	R	V
R	R	V	R	v
R	R	P	P	R
R	R	R	R	v
V	V	R	R	V
B	B	B	R	B
R	R	P	P	R
A	A	A	R	A
P	V	P	V	P
